,road_name
407,川路塑胶大街
408,采莲路
409,成万路
410,车城东二路
411,车城东一路
412,晨曦街
413,车城西二路南段
414,车城西二路
415,车城西一路
416,翠龙街
417,草帽街
418,车城东三路
419,车城东四路
420,车城东六路
421,车城西五路
422,车城东五路
423,车城西四路
424,创业南街
425,长柏路
426,成祥街
427,成佳街
428,春江巷
429,朝阳大道
430,茶马大道
431,蔡渡大桥
432,川粮街
433,纯阳路
434,城西巷
435,长乐东街
436,出江正街
437,长春南路
438,长春东路
439,长春西路
440,春北横街
441,长春北路
442,川湘路
443,澄平街
444,菜康路
445,成新蒲快速路
446,丛桂街
447,淳化街
448,川大路
449,成双公路
450,长冶路
451,草鞋市巷
452,城北上街
453,城北中街
454,菜园大道
455,城北下街
456,长鸿路
457,赤环路
458,槽磨路
459,崇锦路
460,长林街
461,茶树巷
462,长板街南段
463,长庆街
464,车家桥街
465,翠湖西路
466,翠湖街
467,翠湖东路
468,川天路
469,川建路
470,茶店子横街
471,成华南街
472,城隍东巷
473,城隍庙南二巷
474,长顺下街
475,成华北巷
476,成华巷
477,长庆西一路
478,长兰路
479,长平街
480,长庆东一路
481,长久一巷
482,长青横街
483,长和路
484,长青北街
485,成华西街
486,茶店子北街
487,茶店子南街
488,赤虎桥
489,赤虎桥东路
490,川环路
491,成青路
492,长林街
493,茶店子路
494,茶店子西街
495,茶店子东街
496,茶店子正街
497,成华大道
498,成金青快速通道
499,成阿大道二段
500,成德大道
501,川鑫大道
502,成金快速路
503,成南路
504,苍松街
505,大邑大道
506,电子路
507,东洪路中段
508,丹景山路
509,德全南路
510,东巷子
511,德全中街
512,德全北街
513,德通桥南路
514,导航路
515,迪康大道
516,蝶飞路
517,德和街
518,达盛路
519,丁子街
520,德富大道
521,大达巷
522,独柏环街
523,独柏街
524,独柏中巷
525,大件南段
526,东光街
527,东怡街
528,大慈寺路
529,东御街
530,东三环路四段
531,东三环路三段
532,东三环路五段
533,大同巷
534,东鸿路
535,都江堰大道
536,洞子口路
537,东三环路一段
538,东三环路二段
539,东星大道
540,大邑大道
541,电视塔路
542,电力巷
543,东航路
544,东安北路
545,东御街
546,点将台街
547,大石西一街
548,大安正街
549,董家湾正街
550,董家湾中街
551,董家湾南街
552,东怡街
553,大石西路
554,东光街
555,东光南二巷
556,东光南一巷
557,大石东路
558,大石南路
559,东胜街
560,东城根街
561,冻青树街
562,东四街
563,东安南路
564,大华街
565,大业路
566,大墙东街
567,大塘坎街
568,董家湾路
569,东城根南街
570,大墙西街
571,督院街
572,东较场街
573,东玉龙街
574,董家湾北街
575,电信南街
576,东风路北二巷
577,东篱路
578,大田坎街
579,东华正街
580,东御河沿街
581,东锦江街
582,东秀二路
583,东秀一路
584,东风路北一巷
585,电信后街
586,倒桑树街
587,多子巷
588,东府街
589,点将台东街
590,东顺城中街
591,多宝寺南路
592,大平路
593,大观里
594,东洪路
595,蝶花街
596,多宝寺路
597,东鸿路
598,东洪路北段
599,东浦路
600,大安中路
601,东大街东四段
602,东丽街
603,东环西街
604,定兴街
605,大天路
606,大观街
607,德育桥
608,渡口路
609,大成街
610,帝标路
611,大弯南路
612,大弯西路
613,大弯中路
614,大弯东路
615,大弯北路
616,邓双互通式立交桥
617,都汶高速公路
618,大丰镇立交
619,大件路
620,东濠沟北段
621,东升街西二巷
622,东平桥
623,东升一路
624,大井东街
625,东坡南一路
626,大洋路
627,东坡北三路
628,东坡北二路
629,东坡北一路
630,大井西街
631,东宁路
632,大源北一街
633,大源南二街
634,大源西街
635,大源东街
636,大源南一街
637,大源街
638,大源北二街
639,大源北中街
640,大源北支路
641,杜英路
642,大十三路
643,董郎路
644,地京路
645,大兴场街
646,东驭路
647,当垆街
648,东虹路
649,东星大道
650,东锦街
651,东顺河街
652,大件南段
653,定远路
654,东濠沟南段
655,大邑大道
656,电视塔路
657,大青路
658,道观路
