area_number,start_lng,start_lat,end_lng,end_lat,status,time
0,103.488,31.058,103.56099999999999,30.995,1,2019-08-23 Fri 15:12:20
1,103.488,30.995,103.56099999999999,30.932000000000002,1,2019-08-23 Fri 15:12:20
2,103.488,30.932000000000002,103.56099999999999,30.869000000000003,1,2019-08-23 Fri 15:12:20
3,103.488,30.869000000000003,103.56099999999999,30.806000000000004,1,2019-08-23 Fri 15:12:20
4,103.488,30.806000000000004,103.56099999999999,30.743000000000006,1,2019-08-23 Fri 15:12:21
5,103.488,30.743000000000006,103.56099999999999,30.680000000000007,1,2019-08-23 Fri 15:12:21
6,103.488,30.680000000000007,103.56099999999999,30.617000000000008,1,2019-08-23 Fri 15:12:21
7,103.488,30.617000000000008,103.56099999999999,30.55400000000001,1,2019-08-23 Fri 15:12:21
8,103.488,30.55400000000001,103.56099999999999,30.49100000000001,1,2019-08-23 Fri 15:12:21
9,103.488,30.49100000000001,103.56099999999999,30.42800000000001,1,2019-08-23 Fri 15:12:21
10,103.488,30.42800000000001,103.56099999999999,30.365000000000013,1,2019-08-23 Fri 15:12:21
11,103.488,30.365000000000013,103.56099999999999,30.302000000000014,1,2019-08-23 Fri 15:12:21
12,103.488,30.302000000000014,103.56099999999999,30.239000000000015,1,2019-08-23 Fri 15:12:21
13,103.488,30.239000000000015,103.56099999999999,30.176000000000016,1,2019-08-23 Fri 15:12:21
14,103.488,30.176000000000016,103.56099999999999,30.113000000000017,1,2019-08-23 Fri 15:12:21
15,103.56099999999999,31.058,103.63399999999999,30.995,1,2019-08-23 Fri 15:12:22
16,103.56099999999999,30.995,103.63399999999999,30.932000000000002,1,2019-08-23 Fri 15:12:22
17,103.56099999999999,30.932000000000002,103.63399999999999,30.869000000000003,1,2019-08-23 Fri 15:12:22
18,103.56099999999999,30.869000000000003,103.63399999999999,30.806000000000004,1,2019-08-23 Fri 15:12:22
19,103.56099999999999,30.806000000000004,103.63399999999999,30.743000000000006,1,2019-08-23 Fri 15:12:22
20,103.56099999999999,30.743000000000006,103.63399999999999,30.680000000000007,1,2019-08-23 Fri 15:12:22
21,103.56099999999999,30.680000000000007,103.63399999999999,30.617000000000008,1,2019-08-23 Fri 15:12:22
22,103.56099999999999,30.617000000000008,103.63399999999999,30.55400000000001,1,2019-08-23 Fri 15:12:22
23,103.56099999999999,30.55400000000001,103.63399999999999,30.49100000000001,1,2019-08-23 Fri 15:12:22
24,103.56099999999999,30.49100000000001,103.63399999999999,30.42800000000001,1,2019-08-23 Fri 15:12:22
25,103.56099999999999,30.42800000000001,103.63399999999999,30.365000000000013,1,2019-08-23 Fri 15:12:23
26,103.56099999999999,30.365000000000013,103.63399999999999,30.302000000000014,1,2019-08-23 Fri 15:12:23
27,103.56099999999999,30.302000000000014,103.63399999999999,30.239000000000015,1,2019-08-23 Fri 15:12:23
28,103.56099999999999,30.239000000000015,103.63399999999999,30.176000000000016,1,2019-08-23 Fri 15:12:23
29,103.63399999999999,31.058,103.70699999999998,30.995,1,2019-08-23 Fri 15:12:23
30,103.63399999999999,30.995,103.70699999999998,30.932000000000002,1,2019-08-23 Fri 15:12:23
31,103.63399999999999,30.932000000000002,103.70699999999998,30.869000000000003,1,2019-08-23 Fri 15:12:23
32,103.63399999999999,30.869000000000003,103.70699999999998,30.806000000000004,1,2019-08-23 Fri 15:12:23
33,103.63399999999999,30.806000000000004,103.70699999999998,30.743000000000006,1,2019-08-23 Fri 15:12:23
34,103.63399999999999,30.743000000000006,103.70699999999998,30.680000000000007,1,2019-08-23 Fri 15:12:24
35,103.63399999999999,30.680000000000007,103.70699999999998,30.617000000000008,1,2019-08-23 Fri 15:12:24
36,103.63399999999999,30.617000000000008,103.70699999999998,30.55400000000001,1,2019-08-23 Fri 15:12:24
37,103.63399999999999,30.55400000000001,103.70699999999998,30.49100000000001,1,2019-08-23 Fri 15:12:24
38,103.63399999999999,30.49100000000001,103.70699999999998,30.42800000000001,1,2019-08-23 Fri 15:12:24
39,103.63399999999999,30.42800000000001,103.70699999999998,30.365000000000013,1,2019-08-23 Fri 15:12:24
40,103.63399999999999,30.365000000000013,103.70699999999998,30.302000000000014,1,2019-08-23 Fri 15:12:24
41,103.63399999999999,30.302000000000014,103.70699999999998,30.239000000000015,1,2019-08-23 Fri 15:12:24
42,103.70699999999998,31.058,103.77999999999997,30.995,1,2019-08-23 Fri 15:12:25
43,103.70699999999998,30.995,103.77999999999997,30.932000000000002,1,2019-08-23 Fri 15:12:25
44,103.70699999999998,30.932000000000002,103.77999999999997,30.869000000000003,1,2019-08-23 Fri 15:12:25
45,103.70699999999998,30.869000000000003,103.77999999999997,30.806000000000004,1,2019-08-23 Fri 15:12:25
46,103.70699999999998,30.806000000000004,103.77999999999997,30.743000000000006,1,2019-08-23 Fri 15:12:25
47,103.70699999999998,30.743000000000006,103.77999999999997,30.680000000000007,1,2019-08-23 Fri 15:12:25
48,103.70699999999998,30.680000000000007,103.77999999999997,30.617000000000008,1,2019-08-23 Fri 15:12:25
49,103.70699999999998,30.617000000000008,103.77999999999997,30.55400000000001,1,2019-08-23 Fri 15:12:25
50,103.70699999999998,30.55400000000001,103.77999999999997,30.49100000000001,1,2019-08-23 Fri 15:12:25
51,103.70699999999998,30.49100000000001,103.77999999999997,30.42800000000001,1,2019-08-23 Fri 15:12:26
52,103.70699999999998,30.42800000000001,103.77999999999997,30.365000000000013,1,2019-08-23 Fri 15:12:26
53,103.70699999999998,30.365000000000013,103.77999999999997,30.302000000000014,1,2019-08-23 Fri 15:12:26
